Dia;Tmin;Tmax;RHmax;RHmin;Rs;u2;n;ETP
1;18,88;18,52;98,00;62,00;177,63;1,67;12,00;
2;19,31;18,86;97,00;44,00;220,70;1,63;12,00;
3;18,85;18,48;98,00;52,00;166,69;2,15;12,00;
4;20,33;19,83;93,00;59,00;170,70;2,20;12,00;
5;19,73;19,28;97,00;52,00;141,40;0,67;12,00;
6;17,10;16,87;99,00;73,00;95,94;0,33;12,00;
7;20,29;19,82;99,00;52,00;280,91;0,18;12,00;
8;19,57;19,11;98,00;54,00;172,14;0,07;12,00;
9;18,44;18,06;99,00;61,00;148,49;0,03;12,00;
10;20,37;19,96;97,00;55,00;220,33;0,02;12,00;
11;18,95;18,54;99,00;67,00;148,14;0,00;12,00;
12;20,48;20,04;98,00;40,00;298,43;1,60;12,00;
13;18,78;18,39;97,00;71,00;120,29;0,37;12,00;
14;18,51;18,15;99,00;58,00;184,24;0,43;12,00;
15;19,14;18,65;99,00;59,00;154,16;0,27;12,00;
16;19,49;19,07;100,00;51,00;205,27;0,27;12,00;
17;19,15;18,69;99,00;58,00;185,10;0,35;12,00;
18;17,51;17,18;99,00;74,00;106,45;0,42;12,00;
19;20,10;19,61;90,00;54,00;280,97;1,62;12,00;
20;21,46;21,08;89,00;46,00;312,45;2,35;12,00;
21;21,31;20,91;86,00;38,00;327,25;2,10;12,00;
22;16,86;16,41;81,00;49,00;107,75;0,52;12,00;
28;19,45;19,00;96,00;59,00;66,66;1,45;12,00;
29;20,41;20,08;98,00;61,00;209,93;1,50;12,00;
30;18,26;17,86;99,00;56,00;171,21;0,48;12,00;
31;16,23;16,00;99,00;78,00;114,65;1,72;12,00;
